show_id,type,release_year,genres,director,cast
s475,Movie,1929,"Action, Drama, Suspense",Howard Higgin,Robert Armstrong
s476,TV Show,2012,"Documentary, Faith and Spirituality, Special Interest",,Dr. Sam Osmanagich
s477,Movie,2016,"Drama, Sports",Stephen Frears,Ben Foster
s479,Movie,1990,"Action, Drama",Yen-Ping Chu,Jackie Chan
s480,TV Show,2020,"Kids, Special Interest",,The Prince Family
s482,Movie,2016,"Documentary, Drama, Special Interest",Neena Nejad and Xoel Pamos,Jill Abplanalp
s483,Movie,2020,"Action, Suspense",Jimmy Henderson,Gu Shangwei
s485,TV Show,2020,"Animation, Comedy, Science Fiction",,Tycer
s486,Movie,1925,Horror,Rupert Julian,Lon Chaney
s488,Movie,2006,Drama,"Jefferson Moore, Shane Sooter",Pamela Brumley
s490,Movie,2011,"Documentary, International, Special Interest",Simon Egan,Paul Rhys
s491,TV Show,2014,TV Shows,,Patrick Gibson
s492,Movie,2019,Comedy,Harold Trompetero,Ana María Arango
s493,Movie,1974,Drama,Alan J. Pakula,Warren Beatty
s494,TV Show,2013,"Drama, Romance",,Joanna Vanderham
s495,TV Show,2016,"Documentary, Special Interest",,Pete Evans
s496,Movie,1951,"Adventure, Drama","Howard Kress, Harold F. Kress",Paul Kelly
s499,Movie,1970,"Comedy, Western",George McCowan,Walter Brennan
s500,Movie,2019,"Action, Western",Timothy Woodward Jr.,Trace Adkins
s501,Movie,1970,Comedy,Arther HIller,Jack Lemmon
s504,TV Show,2003,Comedy,,Lucy Davis
s505,Movie,1968,"Comedy, Drama",Gene Saks,Jack Lemmon
s506,Movie,1963,"Comedy, Science Fiction",Jerry Lewis,Jerry Lewis
s509,Movie,1943,"Drama, Military and War",Lewis Milestone,Anne Baxter
s510,TV Show,2016,"Action, Drama, Suspense",,Hugh Laurie
s511,Movie,2016,Comedy,"Matt Jones, Dave Hill",Matt Jones
s512,Movie,2016,"Action, Suspense",Christian Sesma,Luke Goss
s514,TV Show,2016,Comedy,,Anthony Fanelli
s515,TV Show,2017,"Drama, Unscripted, Young Adult Audience",,Myles Erlick
s516,TV Show,2016,Documentary,,Rachel Aviv
s517,TV Show,2017,Comedy,,Matt Braunger
s518,Movie,1935,"Action, Adventure",Edward A. Kull,Bruce Bennett
s519,TV Show,2016,"Drama, Suspense",,Bracha van Doesburgh
s520,TV Show,2016,"Drama, Suspense",,Bracha van Doesburgh
s522,TV Show,2010,TV Shows,,Tatiana Maslany
s523,Movie,1997,"Comedy, Drama, Romance",Bart Freundlich,Julianne Moore
s524,Movie,1999,"Documentary, Special Interest",Anna Sofaer,Robert Redford
s526,TV Show,2016,"Action, Drama",,Tom Burke
s527,TV Show,2017,TV Shows,,Gloria Gomez
s529,Movie,2020,"Documentary, Horror",Seth Breedlove,Lyle Blackburn
s530,TV Show,2016,"Drama, Suspense",,John Thomson
s531,Movie,1987,"Action, Comedy, Horror",Fred Dekker,Andre Gower
s532,Movie,2020,Documentary,Chris Cofer,Ron Paul
s533,Movie,2013,"Horror, Suspense",Brett Simmons,C.J. Thomason
s534,Movie,2012,"Action, Animation, Kids","Manuel Sicilia, Raul Garcia",David Robles
s535,Movie,1945,"Comedy, Suspense",Albert Herman,J. Edward Bromberg
s537,Movie,2000,"Animation, Drama, Faith and Spirituality","Stanislav Sokolov, Derek W. Hayes",Ralph Fiennes
s539,TV Show,2014,"Drama, Historical",,Kerrie Hayes
s542,TV Show,2014,"Documentary, Special Interest",,Matt Boliek
s543,TV Show,2019,"Comedy, Drama",,Rachel Brosnahan
s544,Movie,2005,Action,Marcus Adams,Wesley Snipes
s545,Movie,2019,"Drama, Science Fiction",David Guy Levy,Charlie Hofheimer
s547,TV Show,2019,"Action, Drama, Historical",,Alexa Davalos
s548,Movie,1934,Western,Robert N. Bradbury,John Wayne
s549,Movie,1942,Western,Joseph Kane,Roy Rogers
